Nome,Tipo Evento,Data,Horário Abertura,Classificação,Local,Cidade,URL Dados
SEMANA DOS NAMORADOS - BLACKPOT FLORIANÓPOLIS,Gastronomia,10/06/2024 a 16/06/2024,,Livre,Blackpot Restaurant,Florianópolis,https://soulapi.blueticket.com.br/api/v2/events/list?search=Florianopolis
XVIII Estação Cenarium Inverno - Mostra Didática,Teatro,16/06/2024,15:00,Livre,Teatro Ademir Rosa - CIC,Florianópolis,https://soulapi.blueticket.com.br/api/v2/events/list?search=Florianopolis
"TUM SOS RS apresenta: Filipe Catto, Nei Lisboa, Renato Borghetti, Família Lima, Negra Jaque, Guinha Ramires, 50 Tons de Pretas",Shows,16/06/2024,15:00,Livre,Boulevard 14/32 — Aeroporto de Florianópolis,Florianópolis,https://soulapi.blueticket.com.br/api/v2/events/list?search=Florianopolis
Peça Teatral NUNCA DESISTA DOS SEUS SONHOS de AUGUSTO CURY,Teatro,22/06/2024,19:00,10 anos,Teatro Ademir Rosa - CIC,Florianópolis,https://soulapi.blueticket.com.br/api/v2/events/list?search=Florianopolis
Heaven -  22/06,Baladas,22/06/2024,23:00,18 anos,Heaven,Florianópolis,https://soulapi.blueticket.com.br/api/v2/events/list?search=Florianopolis
BRUNA LOUISE em Florianópolis/SC,Teatro,23/06/2024,16:00,,Teatro Ademir Rosa - CIC,Florianópolis,https://soulapi.blueticket.com.br/api/v2/events/list?search=Florianopolis
BRUNA LOUISE em Florianópolis/SC,Teatro,23/06/2024,18:00,,Teatro Ademir Rosa - CIC,Florianópolis,https://soulapi.blueticket.com.br/api/v2/events/list?search=Florianopolis
BRUNA LOUISE em Florianópolis/SC,Teatro,23/06/2024,20:00,,Teatro Ademir Rosa - CIC,Florianópolis,https://soulapi.blueticket.com.br/api/v2/events/list?search=Florianopolis
Summit Cidades 2024,,24/06/2024 a 26/06/2024,,Livre,Centrosul,Florianópolis,https://soulapi.blueticket.com.br/api/v2/events/list?search=Florianopolis
Camerata Educando com Música - CONCERTO DE INVERNO,Teatro,25/06/2024,18:30,2 anos,Teatro Ademir Rosa - CIC,Florianópolis,https://soulapi.blueticket.com.br/api/v2/events/list?search=Florianopolis
